,,,,Rougé-Maillart 2009,,,,,,,,,Buckberry and Chamberlain 2002,,,,,,,Lovejoy 1985,,Suchey-Brooks 1990,,Iscan 1984-1985,,Falys and Prangle 2015,,,,,Beauthier 2010,,,,,,Mann 1991
CIM,Age-at-death,ASAB,,ORGANIZZAZIONE TRASVERSA (1-7),SURFACE TEXTURE (1-5),POROSITà (1-5),ATTIVITà APICE (1-3),RIM (1-5),FOSSA (1-4),ATTIVITà APICE (1-3),SCORE,,ORGANIZZAZIONE TRASVERSA (1-5),SURFACE TEXTURE (1-5),MICROPOROSITà (1-3),MACROPOROSITà (1-3),ATTIVITà APICE (1-3),SCORE,,SCORE,,SCORE,,SCORE,,topography,porosity,osteophitic formation,SCORE,,IN,AMP,TP,PMP,cp,,GROUP
310,58,M,,4,4,4,2,4,3,2,23,,4,4,3,2,2,15,,6,,5,,,,3,4,2,9,,16,9,20,8,3.53,,5
316,65,M,,6,5,4,3,5,4,3,30,,5,5,3,2,3,18,,8,,6,,,,,,,,,16,11,17,5,3.27,,2
323,61,M,,4,5,5,2,5,3,2,26,,4,5,3,3,2,17,,8,,6,,,,4,4,2,10,,15,6,12,7,2.67,,3
324,67,M,,5,4,4,3,4,2,3,25,,5,4,3,2,3,17,,8,,,,,,5,3,3,11,,15,3,11,6,2.33,,3
334,83,M,,,,,,,,,,,5,5,3,3,2,18,,8,,,,,,5,4,3,12,,15,11,24,8,3.87,,5
336,70,M,,7,5,5,3,5,3,2,30,,5,5,3,3,3,19,,8,,,,,,,,,,,,,,,,,
347,31,M,,3,3,5,2,2,2,2,19,,3,3,2,3,2,13,,5,,5,,4,,1,1,1,3,,15,10,9,7,2.73,,3
350,85,M,,,,,,,,,,,,,,,,,,,,,,,,5,4,2,11,,16,6,20,8,3.33,,4
356,85,M,,7,5,5,3,5,3,3,31,,5,5,3,3,2,18,,8,,6,,,,4,5,2,11,,16,5,21,7,3.27,,4
358,72,M,,5,5,5,2,3,3,3,26,,3,5,3,3,2,16,,8,,,,,,3,5,2,10,,16,8,4,8,2.40,,3
363,83,M,,6,5,4,3,5,4,3,30,,5,5,3,2,3,18,,8,,6,,,,4,5,2,11,,15,4,2,6,1.80,,3
364,90,M,,7,5,4,3,5,4,3,31,,5,5,3,2,3,18,,8,,,,8,,6,5,4,15,,,,,,,,
365,58,M,,6,4,4,2,5,2,3,26,,5,4,3,1,2,15,,7,,6,,,,3,3,1,7,,11,4,8,6,1.93,,1
366,85,M,,6,5,5,3,5,4,3,31,,5,5,3,2,3,18,,8,,6,,,,6,6,2,14,,16,7,7,7,2.47,,3
368,77,M,,6,5,5,2,5,4,3,30,,5,5,3,3,2,18,,8,,6,,,,4,4,2,10,,,,,,,,
369,84,M,,7,5,5,3,5,3,3,31,,5,5,3,3,3,19,,8,,6,,8,,6,6,4,16,,15,2,12,6,2.33,,3
382,51,M,,4,5,3,2,3,2,2,21,,4,5,2,2,2,15,,7,,5,,6,,4,4,1,9,,15,7,19,8,3.27,,4
388,74,M,,7,5,3,2,4,2,3,26,,5,5,3,1,2,16,,6,,6,,,,5,5,3,13,,15,6,10,7,2.53,,3
389,76,M,,5,5,4,3,5,4,3,29,,4,5,3,2,2,16,,8,,6,,,,5,4,2,11,,,,,,,,
391,68,M,,6,5,5,2,4,3,2,27,,5,5,3,3,2,18,,8,,6,,,,,,,,,16,12,20,7,3.67,,5
